id,name,ancestry,
1,レディース,
2,メンズ,
3,ベビー・キッズ,
4,インテリア・住まい・小物,
5,本・音楽・ゲーム,
6,おもちゃ・ホビー・グッズ,
7,コスメ・香水・美容,
8,家電・スマホ・カメラ,
9,スポーツ・レジャー,
10,ハンドメイド,
11,チケット,
12,自転車・オートバイ,
13,その他,
14,トップス,1
15,パンツ,1
16,靴,1
17,トップス,2
18,パンツ,2
19,靴,2
20,ベビー服,3
21,キッズ服,3
22,キッチン,4
23,ベッド,4
24,インテリア小物,4
25,本,5
26,マンガ,5
27,テレビゲーム,5
28,おもちゃ,6
29,フィギュア,6
30,香水,7
31,スキンケア,7
32,スマートフォン,8
33,PC,8
34,野球,9
35,サッカー,9
36,アクセサリー/小物,10
37,日用品/インテリア,10
38,イベント,11
39,映画,11
40,自動車パーツ,12
41,オートバイパーツ,12
42,ペット用品,13
43,食品,13
44,Tシャツ/カットソー,1/14
45,ポロシャツ,1/14
46,パーカー,1/14
47,デニム,1/15
48,ガウチョパンツ,1/15
49,ハイヒール,1/16
50,ブーツ,1/16
51,Tシャツ/カットソー,2/17
52,ポロシャツ,2/17
53,パーカー,2/17
54,ジーンズ,2/18
55,サルエルパンツ,2/18
56,スニーカー,2/19
57,サンダル,2/19
58,トップス,3/20
59,パジャマ,3/20
60,ジャケット,3/21
61,パンツ,3/21
62,食器,4/22
63,調理器具,4/22
64,シングルベッド,4/23
65,マットレス,4/23
66,クッション,4/24
67,花瓶,4/24
68,文学,5/25
69,ビジネス,5/25
70,少年マンガ,5/26
71,少女マンガ,5/26
72,家庭用ゲーム本体,5/27
73,家庭用ゲームソフト,5/27
74,ぬぐるみ,6/28
75,プラモデル,6/28
76,特撮,6/29
77,ゲームキャラクター,6/29
78,香水(女性用),7/30
79,香水(男性用),7/30
80,化粧水,7/31
81,美容液,7/31
82,スマートフォン本体,8/32
83,バッテリー,8/32
84,タブレット,8/33
85,ノートPC,8/33
86,グローブ,9/34
87,バット,9/34
88,ボール,9/35
89,応援グッズ,9/35
90,バッグ,10/36
91,財布,10/36
92,家具,10/37
93,文房具,10/37
94,トークショー,11/38
95,講演会,11/38
96,邦画,11/39
97,洋画,11/39
98,ブレーキ,12/40
99,エンジン,12/40
100,マフラー,12/41
101,ホイール,12/41
102,ペットフード,13/42
103,おり,13/42
104,米,13/43
105,野菜,13/43
106,肉類,13/43
